code,value
N20003110,0.21
N20003111,0.11
N20003112,0.10
N20003113,0.18
N20003114,0.08
N20003115,0.04
N20003116,0.08
N20003117,0.09
N20003118,0.07
N20003119,0.18
N20003120,0.06
N20003121,0.07
N20003122,0.01
N20003123,0.06
N20003124,0.02
N20003125,0.58
N20003126,0.05
N20003127,0.06
N20003128,0.15
N20003129,0.01
N20003130,0.02
N20003131,0.06
N20003132,0.03
N20003133,0.02
N20003134,0.05
N20003135,0.04
N20003136,0.02
N20003137,0.03
N20003138,0.04
N20003139,0.03
N20003140,0.02
N20003141,0.01
N20003142,0.02
N20003143,0.01
N20003144,0.04
N20003145,0.02
N20003146,0.05
N20003147,0.07
N20003148,0.02
N20003149,0.02
N20003150,0.03
N20003151,0.03
N20003152,0.03
N20003153,0.03
N20003154,0.39
N20003155,0.09
N20003156,0.09
N20003157,0.05
N20003158,0.13
N20003159,0.05
N20003160,0.05
N20003161,0.14
N20003162,0.05
N20003163,0.12
N20003164,0.06
N20003165,0.07
N20003166,0.02
N20003167,0.02
N20003168,0.08
N20003169,0.06
N20003170,0.06
N20003171,0.08
N20003172,0.10
N20003173,0.05
N20003174,0.10
N20003175,0.09
N20003176,0.04
N20003177,0.05
N20003178,0.13
N20003179,0.15
N20003180,0.10
N20003181,0.06
N20003182,0.07
N20003183,0.03
N20003184,0.03
N20003185,0.07
N20003186,0.04
N20003187,0.07
N20003188,0.02
N20003189,0.09
N20003190,0.13
N20003191,0.03
N20003192,0.05
N20003193,0.08
N20003194,0.02
N20003195,0.05
N20003196,0.06
N20003197,0.04
N20003198,0.05
N20003199,0.08
N20003200,0.05
N20003201,0.03
N20003202,0.04
N20003203,0.01
N20003204,0.04
N20003205,0.02
N20003206,0.01
N20003207,0.10
N20003208,0.59
N20003209,0.44
N20003210,0.27
N20003211,0.11
N20003212,0.23
N20003213,0.36
N20003214,0.24
N20003215,0.30
N20003216,0.16
N20003217,0.04
N20003218,0.03
N20003219,0.13
N20003220,0.04
N20003221,0.05
N20003222,0.10
N20003223,0.04
N20003224,0.03
N20003225,0.04
N20003226,0.02
N20003227,0.02
N20003228,0.06
N20003229,0.12
N20003230,0.05
N20003231,0.02
N20003232,0.06
N20003233,0.04
N20003234,0.05
N20003235,0.11
N20003236,0.08
N20003237,0.11
N20003238,0.08
N20003239,0.04
N20003240,0.10
N20003241,0.09
N20003242,0.11
N20003243,0.05
N20003244,0.03
N20003245,0.02
N20003246,0.07
N20003247,0.10
N20003248,0.09
N20003249,0.07
N20003250,0.09
N20003251,0.08
N20003252,0.07
N20003253,0.13
N20003254,0.09
N20003255,0.12
N20003256,0.17
N20003257,0.23
N20003258,0.08
N20003259,0.29
N20003260,0.02
N20003261,0.29
N20003262,0.21
N20003263,0.14
N20003264,0.21
N20003265,0.14
N20003266,0.25
N20003267,0.15
N20003268,0.27
N20003269,0.12
N20003270,0.26
N20003271,0.22
N20003272,0.19
N20003273,0.24
N20003274,0.21
N20003275,0.33
N20003276,0.10
N20003277,0.30
N20003278,0.33
N20003279,0.22
N20003280,0.04
N20003281,0.38
N20003282,0.32
N20003283,0.27
N20003284,0.15
N20003285,0.69
N20003286,0.85
N20003287,0.87
N20003288,0.61
N20003289,0.38
N20003290,0.31
N20003291,0.33
N20003292,0.72
N20003293,0.54
N20003294,0.38
N20003295,0.12
N20003296,0.41
N20003297,0.52
N20003298,0.85
N20003299,0.17
N20003300,0.80
N20003301,0.60
N20003302,0.06
N20003303,0.36
N20003304,0.36
N20003305,0.69
N20003306,0.76
N20003307,0.78
N20003308,0.49
N20003309,0.44
N20003310,0.47
N20003311,0.53
N20003312,0.76
N20003313,0.31
N20003314,0.73
N20003315,0.10
N20003316,0.84
N20003317,0.36
N20003318,0.08
N20003319,0.10
N20003320,0.37
N20003321,0.24
N20003322,0.35
N20003323,0.41
N20003324,0.21
N20003325,0.19
N20003326,0.28
N20003327,0.21
N20003328,0.26
N20003329,0.48
N20003330,0.49
N20003331,0.44
N20003332,0.09
N20003333,0.32
N20003334,0.15
N20003335,0.16
N20003336,0.06
N20003337,0.37
N20003338,0.27
N20003339,0.27
N20003340,0.38
N20003341,0.13
N20003342,0.04
N20003343,0.19
N20003344,0.02
N20003345,0.02
N20003346,0.01
N20003347,0.76
N20003348,0.52
N20003349,0.53
N20003350,0.58
N20003351,0.66
N20003352,0.50
N20003353,0.64
N20003354,0.70
N20003355,0.53
N20003356,0.75
N20003357,0.29
N20003358,0.76
N20003359,0.70
N20003360,0.62
N20003361,0.64
N20003362,0.78
N20003363,0.77
N20003364,0.31
N20003365,0.54
N20003366,0.76
N20003367,0.58
N20003368,0.47
N20003369,0.80
N20003370,0.74
N20003371,0.65
N20003372,0.59
N20003373,0.47
N20003374,0.57
N20003375,0.53
N20003376,0.53
N20003377,0.44
N20003378,0.51
N20003379,0.24
N20003380,0.22
N20003381,0.52
N20003382,0.47
N20003383,0.36
N20003384,0.21
N20003385,0.39
N20003386,0.50
N20003387,0.52
N20003388,0.19
N20003389,0.48
N20003390,0.22
N20003391,0.19
N20003392,0.43
N20003393,0.22
N20003394,0.10
N20003395,0.36
N20003396,0.20
N20003397,0.30
N20003398,0.11
N20003399,0.10
N20003400,0.08
N20003401,0.17
N20003402,0.10
N20003403,0.13
N20003404,0.29
N20003405,0.06
N20003406,0.14
N20003407,0.11
N20003408,0.16
N20003409,0.07
N20003410,0.10
N20003411,0.11
N20003412,0.06
N20003413,0.09
N20003414,0.14
N20003415,0.09
N20003416,0.06
N20003417,0.06
N20003418,0.02
N20003419,0.04
N20003420,0.10
N20003421,0.03
N20003422,0.19
N20003423,0.09
N20003424,0.23
N20003425,0.05
N20003426,0.06
N20003427,0.12
N20003428,0.07
N20003429,0.21
N20003430,0.07
N20003431,0.06
N20003432,0.84
N20003433,0.81
N20003434,0.80
N20003435,0.76
N20003436,0.76
N20003437,0.78
N20003438,0.81
N20003439,0.87
N20003440,0.70
N20003441,0.77
N20003442,0.83
N20003443,0.68
N20003444,0.63
N20003445,0.72
N20003446,0.68
N20003447,0.76
N20003448,0.85
N20003449,0.67
N20003450,0.83
N20003451,0.74
N20003452,0.83
N20003453,0.83
N20003454,0.78
N20003455,0.71
N20003456,0.81
N20003457,0.79
N20003458,0.88
N20003459,0.84
N20003460,0.85
N20003461,0.88
N20003462,0.84
N20003463,0.83
N20003464,0.75
N20003465,0.72
N20003466,0.83
N20003467,0.78
N20003468,0.69
N20003469,0.75
N20003470,0.79
N20003471,0.67
N20003472,0.79
N20003473,0.81
N20003474,0.77
N20003475,0.75
N20003476,0.80
N20003477,0.75
N20003478,0.83
N20003479,0.76
N20003480,0.68
N20003481,0.78
N20003482,0.66
N20003483,0.76
N20003484,0.71
N20003485,0.64
N20003486,0.58
N20003487,0.79
N20003488,0.73
N20003489,0.68
N20003490,0.76
N20003491,0.73
N20003492,0.71
N20003493,0.59
N20003494,0.76
N20003495,0.63
N20003496,0.70
N20003497,0.84
N20003498,0.68
N20003499,0.52
N20003500,0.64
N20003501,0.80
N20003502,0.71
N20003503,0.59
N20003504,0.57
N20003505,0.69
N20003506,0.75
N20003507,0.75
N20003508,0.80
N20003509,0.62
N20003510,0.64
N20003511,0.75
N20003512,0.72
N20003513,0.60
N20003514,0.78
N20003515,0.65
N20003516,0.66
N20003517,0.77
N20003518,0.61
N20003519,0.69
N20003520,0.58
N20003521,0.68
N20003522,0.68
N20003523,0.80
N20003524,0.66
N20003525,0.75
N20003526,0.70
N20003527,0.63
N20003528,0.84
N20003529,0.59
N20003530,0.79
N20003531,0.77
N20003532,0.68
N20003533,0.72
N20003534,0.63
N20003535,0.77
N20003536,0.74
N20003537,0.65
N20003538,0.65
N20003539,0.59
N20003540,0.66
N20003541,0.79
N20003542,0.78
N20003543,0.82
N20003544,0.65
N20003545,0.58
N20003546,0.68
N20003547,0.64
N20003548,0.63
N20003549,0.63
N20003550,0.62
N20003551,0.62
N20003552,0.55
N20003553,0.54
N20003554,0.70
N20003555,0.61
N20003556,0.62
N20003557,0.60
N20003558,0.49
N20003559,0.48
N20003560,0.57
N20003561,0.40
N20003562,0.77
N20003563,0.56
N20003564,0.45
N20003565,0.57
N20003566,0.54
N20003567,0.57
N20003568,0.76
N20003569,0.74
N20003570,0.52
N20003571,0.61
N20003572,0.76
N20003573,0.51
N20003574,0.58
N20003575,0.61
N20003576,0.44
N20003577,0.56
N20003578,0.69
N20003579,0.64
N20003580,0.64
N20003581,0.56
N20003582,0.65
N20003583,0.49
N20003584,0.57
N20003585,0.74
N20003586,0.48
N20003587,0.66
N20003588,0.71
N20003589,0.65
N20003590,0.51
N20003591,0.75
N20003592,0.53
N20003593,0.65
N20003594,0.69
N20003595,0.69
N20003596,0.61
N20003597,0.55
N20003598,0.75
N20003599,0.51
N20003600,0.74
N20003601,0.62
N20003602,0.62
N20003603,0.64
N20003604,0.76
N20003605,0.62
N20003606,0.68
N20003607,0.73
N20003608,0.66
N20003609,0.65
N20003610,0.53
N20003611,0.62
N20003612,0.61
N20003613,0.67
N20003614,0.63
N20003615,0.73
N20003616,0.71
N20003617,0.66
N20003618,0.64
N20003619,0.58
N20003620,0.62
N20003621,0.72
N20003622,0.75
N20003623,0.69
N20003624,0.49
N20003625,0.74
N20003626,0.70
N20003627,0.75
N20003628,0.57
N20003629,0.65
N20003630,0.66
N20003631,0.47
N20003632,0.44
N20003633,0.82
N20003634,0.67
N20003635,0.68
N20003636,0.55
N20003637,0.65
N20003638,0.57
N20003639,0.74
N20003640,0.46
N20003641,0.57
N20003642,0.45
N20003643,0.78
N20003644,0.71
N20003645,0.70
N20003646,0.77
N20003647,0.64
N20003648,0.77
N20003649,0.58
N20003650,0.69
N20003651,0.59
N20003652,0.67
N20003653,0.63
N20003654,0.65
N20003655,0.70
N20003656,0.63
N20003657,0.64
N20003658,0.80
N20003659,0.63
N20003660,0.61
N20003661,0.55
N20003662,0.72
N20003663,0.63
N20003664,0.69
N20003665,0.65
N20003666,0.74
N20003667,0.67
N20003668,0.66
N20003669,0.68
N20003670,0.56
N20003671,0.65
N20003672,0.66
N20003673,0.68
N20003674,0.73
N20003675,0.68
N20003676,0.62
N20003677,0.70
N20003678,0.61
N20003679,0.84
N20003680,0.73
N20003681,0.80
N20003682,0.78
N20003683,0.77
N20003684,0.78
N20003685,0.79
N20003686,0.71
N20003687,0.73
N20003688,0.81
N20003689,0.65
N20003690,0.78
N20003691,0.74
N20003692,0.76
N20003693,0.82
N20003694,0.71
N20003695,0.72
N20003696,0.76
N20003697,0.74
N20003698,0.72
N20003699,0.68
N20003700,0.73
N20003701,0.72
N20003702,0.74
N20003703,0.59
N20003704,0.82
N20003705,0.72
N20003706,0.76
N20003707,0.75
N20003708,0.68
N20003709,0.67
N20003710,0.67
N20003711,0.72
N20003712,0.73
N20003713,0.73
N20003714,0.75
N20003715,0.76
N20003716,0.65
N20003717,0.66
N20003718,0.76
N20003719,0.73
N20003720,0.71
N20003721,0.73
N20003722,0.78
N20003723,0.72
N20003724,0.84
N20003725,0.73
N20003726,0.77
N20003727,0.82
N20003728,0.77
N20003729,0.70
N20003730,0.76
N20003731,0.80
N20003732,0.73
N20003733,0.79
N20003734,0.76
N20003735,0.81
N20003736,0.77
N20003737,0.81
N20003738,0.80
N20003739,0.71
N20003740,0.80
N20003741,0.79
N20003742,0.77
N20003743,0.82
N20003744,0.77
N20003745,0.83
N20003746,0.79
N20003747,0.81
N20003748,0.89
N20003749,0.77
N20003750,0.84
N20003751,0.78
N20003752,0.82
N20003753,0.74
N20003754,0.82
N20003755,0.77
N20003756,0.36
N20003757,0.70
N20003758,0.74
N20003759,0.29
N20003760,0.27
N20003761,0.62
N20003762,0.73
N20003763,0.37
N20003764,0.89
N20003765,0.78
N20003766,0.80
N20003767,0.67
N20003768,0.83
N20003769,0.52
N20003770,0.65
N20003771,0.38
N20003772,0.56
N20003773,0.26
N20003774,0.32
N20003775,0.10
N20003776,0.09
N20003777,0.06
N20003778,0.11
N20003779,0.16
N20003780,0.32
