,Date,Date_Fraction,P,D,E,CPI,Rate GS10,Price_real,Dividend_real,Earnings_real,PE_ratio,Date_iso
182,1886.03,1886.208333,5.19,0.235,0.285,7.897091074,3.395,213.3757436,9.661522108,11.71716511,18.21052632,1886-03-01
183,1886.04,1886.291667,5.12,0.2333,0.29,7.801941983,3.4075,213.0649835,9.708605597,12.06813383,17.65517241,1886-04-01
184,1886.05,1886.375,5.02,0.2317,0.295,7.611651901,3.42,214.1261136,9.883071819,12.58310827,17.01694915,1886-05-01
185,1886.06,1886.458333,5.25,0.23,0.3,7.51650281,3.4325,226.7714179,9.934747833,12.95836674,17.5,1886-06-01
186,1886.07,1886.541667,5.33,0.2283,0.305,7.611651901,3.445,227.349041,9.738046164,13.00965432,17.47540984,1886-07-01
187,1886.08,1886.625,5.37,0.2267,0.31,7.706792893,3.4575,226.2275196,9.550424336,13.05968921,17.32258065,1886-08-01
188,1886.09,1886.708333,5.51,0.225,0.315,7.706792893,3.47,232.1254437,9.478806686,13.27032936,17.49206349,1886-09-01
189,1886.1,1886.791667,5.65,0.2233,0.32,7.706792893,3.4825,238.0233679,9.407189035,13.48096951,17.65625,1886-01-01
190,1886.11,1886.875,5.79,0.2217,0.325,7.706792893,3.495,243.921292,9.339784188,13.69160966,17.81538462,1886-11-01
191,1886.12,1886.958333,5.64,0.22,0.33,7.801941983,3.5075,234.7043959,9.15513601,13.73270402,17.09090909,1886-12-01
192,1887.01,1887.041667,5.58,0.2225,0.3325,7.992232066,3.52,226.6788233,9.038716519,13.50729547,16.78195489,1887-01-01
193,1887.02,1887.125,5.54,0.225,0.335,8.087381157,3.5325,222.4060972,9.032738606,13.44874415,16.53731343,1887-02-01
194,1887.03,1887.208333,5.67,0.2275,0.3375,8.087381157,3.545,227.6250129,9.133102369,13.54910791,16.8,1887-03-01
195,1887.04,1887.291667,5.8,0.23,0.34,8.087381157,3.5575,232.8439285,9.233466131,13.64947167,17.05882353,1887-04-01
196,1887.05,1887.375,5.9,0.2325,0.3425,8.087381157,3.57,236.858479,9.333829893,13.74983543,17.22627737,1887-05-01
197,1887.06,1887.458333,5.73,0.235,0.345,7.992232066,3.5825,232.77234,9.546509582,14.01508854,16.60869565,1887-06-01
198,1887.07,1887.541667,5.59,0.2375,0.3475,7.897091074,3.595,229.8208876,9.764304258,14.28671886,16.08633094,1887-07-01
199,1887.08,1887.625,5.45,0.24,0.35,7.992232066,3.6075,221.3977754,9.749626807,14.21820576,15.57142857,1887-08-01
200,1887.09,1887.708333,5.38,0.2425,0.3525,7.897091074,3.62,221.187187,9.969868558,14.49228316,15.26241135,1887-09-01
201,1887.1,1887.791667,5.2,0.245,0.355,7.992232066,3.6325,211.2419142,9.952744032,14.42132299,14.64788732,1887-01-01
202,1887.11,1887.875,5.3,0.2475,0.3575,8.087381157,3.645,212.7711761,9.936012467,14.35201801,14.82517483,1887-11-01
